,name,port_id,lat_port,lon_port,iso2,area,h3_5_hexring
15,Amorgos,wfp.16047,36.82737,25.86269,gr,black,"['853f7567fffffff', '853f756ffffffff', '853f719bfffffff', '853f7193fffffff', '853f7577fffffff', '853f752bfffffff', '853f7563fffffff']"
16,Anamur,wfp.15138,36.06969,32.86657,tr,black,"['853f696bfffffff', '853f6963fffffff', '853f6bb7fffffff', '853f697bfffffff', '852da497fffffff', '853f696ffffffff', '853f6ba7fffffff']"
17,Antalya,wfp.16176,36.88332,30.70299,tr,black,"['853f6e37fffffff', '853f68cbfffffff', '853f6eaffffffff', '853f68dbfffffff', '853f6e27fffffff', '853f6e33fffffff', '853f6e23fffffff']"
18,Ashdod,wfp.15432,31.82475,34.6482,il,black,"['852db627fffffff', '852db637fffffff', '852db623fffffff', '852db053fffffff', '852db62ffffffff', '852db0cbfffffff', '852db05bfffffff']"
19,Ashkelon,wfp.16914,31.68119,34.55747,il,black,"['852db623fffffff', '852db637fffffff', '852db62ffffffff', '852db62bfffffff', '852db627fffffff', '852db63bfffffff', '852db633fffffff']"
20,Ayancik,wfp.15644,41.94791,34.58465,tr,black,"['852d01d3fffffff', '852d00a7fffffff', '852d056bfffffff', '852d01d7fffffff', '852d01dbfffffff', '852d01c3fffffff', '852d056ffffffff']"
21,Ayvalik,wfp.15692,39.32862,26.69751,tr,black,"['853f64c3fffffff', '853f64cffffffff', '853f64d7fffffff', '853f64c7fffffff', '853f64d3fffffff', '853f64dbfffffff', '853f64cbfffffff']"
22,BERGKVARA,9238,56.3832,16.0831,se,baltic,"['851f28affffffff', '851f28a7fffffff', '851f2837fffffff', '851f28abfffffff', '851f28a3fffffff', '851f2833fffffff', '851f29dbfffffff']"
23,BOHUS,8763428,57.824,12.016124,se,baltic,"['851f25abfffffff', '851f2533fffffff', '851f25affffffff', '851f2517fffffff', '851f25bbfffffff', '851f25a3fffffff', '851f2507fffffff']"
24,BROFJORDEN,4219,58.35,11.416492,se,baltic,"['85099a67fffffff', '8508b49bfffffff', '85099a6ffffffff', '85099a63fffffff', '85099a2bfffffff', '85099a77fffffff', '8508b493fffffff']"
25,Bakirkoy,wfp.17131,40.95846,28.8229,tr,black,"['851ec91bfffffff', '851ec903fffffff', '851ec90bfffffff', '851ec9c7fffffff', '851ec957fffffff', '851ec9cffffffff', '851ec913fffffff']"
