,name,port_id,lat_port,lon_port,iso2,h3_5
147,HARGSHAMN,10560147,60.166665,18.48354,se,599128286169137151
148,HARGSHAMN,10560147,60.166665,18.48354,se,599128315160166399
149,HARGSHAMN,10560147,60.166665,18.48354,se,599128287242878975
25,HELSINGBORG,87213,56.0542,12.69432,se,599526524126756863
150,HELSINGBORG,87213,56.0542,12.69432,se,599527291852161023
151,HELSINGBORG,87213,56.0542,12.69432,se,599526526274240511
152,HELSINGBORG,87213,56.0542,12.69432,se,599526528421724159
153,HELSINGBORG,87213,56.0542,12.69432,se,599527324064415743
154,HELSINGBORG,87213,56.0542,12.69432,se,599526523053015039
155,HELSINGBORG,87213,56.0542,12.69432,se,599527293999644671
26,HELSINGÖR,91321,56.0324,12.55769,dk,599526523053015039
156,HELSINGÖR,91321,56.0324,12.55769,dk,599526529495465983
157,HELSINGÖR,91321,56.0324,12.55769,dk,599526526274240511
158,HELSINGÖR,91321,56.0324,12.55769,dk,599526527347982335
159,HELSINGÖR,91321,56.0324,12.55769,dk,599526528421724159
160,HELSINGÖR,91321,56.0324,12.55769,dk,599526525200498687
161,HELSINGÖR,91321,56.0324,12.55769,dk,599526524126756863
27,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,599280485851463679
162,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,599280486925205503
163,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,599280487998947327
164,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,599130030999601151
165,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,599130032073342975
166,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,599130184544681983
167,HELSINKI/HELSINGFORS,12,60.142,24.9512,fi,599280481556496383
28,HOLMSUND,82,63.666554,20.33049,se,599136157770448895
168,HOLMSUND,82,63.666554,20.33049,se,599136158844190719
169,HOLMSUND,82,63.666554,20.33049,se,599136159917932543
170,HOLMSUND,82,63.666554,20.33049,se,599136404731068415
171,HOLMSUND,82,63.666554,20.33049,se,599136405804810239
172,HOLMSUND,82,63.666554,20.33049,se,599136420837195775
173,HOLMSUND,82,63.666554,20.33049,se,599136153475481599
29,HUDIKSVALL,62,61.73324,17.116653,se,599131209968123903
174,HUDIKSVALL,62,61.73324,17.116653,se,599131211041865727
175,HUDIKSVALL,62,61.73324,17.116653,se,599131212115607551
176,HUDIKSVALL,62,61.73324,17.116653,se,599131456928743423
