,name,port_id,lat_port,lon_port,iso2,area,h3_5,h3_5_int
91,GRENÅ,987352,56.416794,10.93124,dk,baltic,851f206bfffffff,599526334074454015
92,GRENÅ,987352,56.416794,10.93124,dk,baltic,851f2077fffffff,599526334074454015
93,GRENÅ,987352,56.416794,10.93124,dk,baltic,851f206ffffffff,599526334074454015
94,GRENÅ,987352,56.416794,10.93124,dk,baltic,851f207bfffffff,599526334074454015
95,GRENÅ,987352,56.416794,10.93124,dk,baltic,851f2067fffffff,599526334074454015
134,GRISSLEHAMN,856529,60.110847,18.8167471,se,baltic,85088073fffffff,599128315160166399
804,GRISSLEHAMN,856529,60.110847,18.8167471,se,baltic,85088063fffffff,599128315160166399
805,GRISSLEHAMN,856529,60.110847,18.8167471,se,baltic,8508800ffffffff,599128315160166399
806,GRISSLEHAMN,856529,60.110847,18.8167471,se,baltic,85088047fffffff,599128315160166399
807,GRISSLEHAMN,856529,60.110847,18.8167471,se,baltic,85088077fffffff,599128315160166399
808,GRISSLEHAMN,856529,60.110847,18.8167471,se,baltic,8508800bfffffff,599128315160166399
809,GRISSLEHAMN,856529,60.110847,18.8167471,se,baltic,8508807bfffffff,599128315160166399
16,GRUVÖN,32876239647,59.33213,13.1166069,se,baltic,8508b517fffffff,599131932596371455
96,GRUVÖN,32876239647,59.33213,13.1166069,se,baltic,8508b513fffffff,599131932596371455
97,GRUVÖN,32876239647,59.33213,13.1166069,se,baltic,8508b507fffffff,599131932596371455
98,GRUVÖN,32876239647,59.33213,13.1166069,se,baltic,8508b58ffffffff,599131932596371455
99,GRUVÖN,32876239647,59.33213,13.1166069,se,baltic,8508b5bbfffffff,599131932596371455
100,GRUVÖN,32876239647,59.33213,13.1166069,se,baltic,8508b503fffffff,599131932596371455
101,GRUVÖN,32876239647,59.33213,13.1166069,se,baltic,8508b5abfffffff,599131932596371455
17,GÄVLE,742938,60.683293,17.183295,se,baltic,85088557fffffff,599128651241357311
102,GÄVLE,742938,60.683293,17.183295,se,baltic,85088543fffffff,599128651241357311
103,GÄVLE,742938,60.683293,17.183295,se,baltic,85088553fffffff,599128651241357311
104,GÄVLE,742938,60.683293,17.183295,se,baltic,8508850bfffffff,599128651241357311
105,GÄVLE,742938,60.683293,17.183295,se,baltic,8508851bfffffff,599128651241357311
106,GÄVLE,742938,60.683293,17.183295,se,baltic,850885cffffffff,599128651241357311
107,GÄVLE,742938,60.683293,17.183295,se,baltic,85088547fffffff,599128651241357311
18,GÖTEBORG,9469372,57.7169,11.88329,se,baltic,851f25abfffffff,599526696999190527
108,GÖTEBORG,9469372,57.7169,11.88329,se,baltic,851f2533fffffff,599526696999190527
109,GÖTEBORG,9469372,57.7169,11.88329,se,baltic,851f25affffffff,599526696999190527
110,GÖTEBORG,9469372,57.7169,11.88329,se,baltic,851f2517fffffff,599526696999190527
111,GÖTEBORG,9469372,57.7169,11.88329,se,baltic,851f25bbfffffff,599526696999190527
112,GÖTEBORG,9469372,57.7169,11.88329,se,baltic,851f25a3fffffff,599526696999190527
113,GÖTEBORG,9469372,57.7169,11.88329,se,baltic,851f2507fffffff,599526696999190527
7,HAAPSALU,90214,58.91666,23.501023,ee,baltic,85089a87fffffff,599130107235270655
42,HAAPSALU,90214,58.91666,23.501023,ee,baltic,85089a8ffffffff,599130107235270655
