id,port,communityId
4949,BÅLSTA,85
7324723,STORUGNS,85
10560147,HARGSHAMN,85
1049,VAASA,85
9557327,DEGERHAMN,85
989,KÖPING,85
321441,KRAMFORS,85
95772812,STRÅ,85
953,NYNÄSHAMN,85
938412,SUNDSVALL,85
9492214,MÖNSTERÅS,85
994,OXELÖSUND,85
28,HUSUM,85
4299,SÖDERTÄLJE,85
591,KEMI,85
856529,GRISSLEHAMN,85
3+24442,PIETARSAARI,85
1416,NORRKÖPING,85
587,SÖRÅKER,85
3280995,RAAHE,85
98120,KAPELLSKÄR,85
984721,HARAHOLMEN,85
43827439,TORNIO,85
848,SKUTSKÄR,85
8928379,UUSIKAUPUNKI/NYSTAD,85
2140,OULU,85
82,HOLMSUND,85
62,HUDIKSVALL,85
49490,LULEÅ,85
74829,KALAJOKI,85
8475,PORI/MÄNTYLUOTO,85
423,KASKINEN,85
231,KOKKOLA,85
12812,SÖDERHAMN,85
4210,ÖREGRUND,85
1945,SKELLEFTEHAMN,85
19,HÄRNÖSAND,85
9447,KLINTEHAMN,85
4620,RUNDVIK,85
wfp.17151,Ambarli,94
wfp.17455,Diliskelesi,94
wfp.14959,Derince,94
wfp.16140,Beykoz,94
wfp.15955,Mudanya,94
wfp.15674,Tuzla,94
wfp.14575,Basarabi,94
wfp.14938,Tuapse,94
wfp.16454,Eregli,94
wfp.16448,Maltepe,94
wfp.15023,Constanta,94
wfp.17092,Buyukcekmece,94
wfp.16192,Amasra,94
wfp.16617,Sariyer,94
wfp.15644,Ayancik,94
wfp.17486,Sarkoy,94
wfp.15144,Mangalia,94
wfp.16464,Zonguldak,94
wfp.14960,Samsun,94
wfp.17558,Bartin,94
wfp.14762,Mariupol,94
wfp.16216,Tekirdag,94
wfp.14905,Erdek,94
wfp.17055,Bandirmar,94
wfp.16608,Burgas,94
wfp.15956,Karabiga,94
wfp.17094,Poti,94
wfp.15695,Inebolu,94
wfp.14907,Novorossiysk,94
wfp.15505,Varna,94
wfp.15957,Sinop,94
wfp.17093,Batumi,94
wfp.15896,Cide,94
wfp.16881,Berdyansk,94
wfp.15965,Rize,94
wfp.14963,Fatsa,94
wfp.14664,Hopa,94
wfp.15863,Medgidia,94
wfp.14759,Yalta,94
wfp.14760,Kerch,94
wfp.17402,Nikolayev,101
wfp.16868,Ilyichevsk,101
wfp.14757,Odessa,101
wfp.16857,Oktyabrsk,101
wfp.17401,Yuzhnyy,101
wfp.16880,Sevastopol,101
wfp.17357,Belgorod-Dnestrovskiy,101
wfp.14758,Kherson,101
wfp.16463,Kusadasi,114
wfp.16923,Aamshite,124
wfp.17550,Ain El Mraisse _El Jisr,124
wfp.15237,Batroun,124
wfp.14392,Kalecik,124
wfp.15019,El Aabde,124
wfp.17592,Saida,124
wfp.16169,Famagusta,124
wfp.16019,Ej Jiye,124
wfp.14730,Cheikh Zennad,124
wfp.17332,Supsa,153
8092,TROLLHÄTTAN,183
4004,MARIESTAD,183
8128,HÖNSÄTER,183
40042,LIDKÖPING,183
94486,SKOGHALL,183
224,OTTERBÄCKEN,183
32876239647,GRUVÖN,183
21414,KRISTINEHAMN,183
12,HELSINKI/HELSINGFORS,185
89742,HANKO/HANGÖ,185
45647,PRIMORSK,185
924,INKOO,185
9949,Parainen,185
645,MUUGA,185
24325,TALLIN,185
99,MARIEHAMN,185
104,KOVERHAR,185
9421815,MUSSALO,185
9112,TAALINTEHDAS,185
1274,PALDISKI,185
4325,LÅNGNÄS,185
213497901,LOVIISA,185
190,SAINT PETERSBURG,185
8412,KANTVIK,185
91013,NAANTALI/NÅDENDAL,185
879421,HAMINA,185
93482,SILLAMÄE,185
81274125,LOKSA,185
75684,Lappeenranta,185
34679,KUNDA,185
9327575,VYBORG,185
14928,VYSOTSKI,185
4559,KARLSBORG,185
21,IGGESUND,231
958123,STOCKA,233
wfp.15773,Parga,237
9393214,FÖRBY,238
wfp.17747,Istanbul,242
wfp.16883,Evpatoria,245
wfp.15588,Bar,247
wfp.14686,Zelenika,247
wfp.16210,Trabzon,253
wfp.15198,Gorele,253
wfp.17304,Gemikonagi,256
wfp.15463,Ordu,260
wfp.16209,Giresun,260
