id,port,spread
62,HUDIKSVALL,0.6499999999999773
wfp.17321,Agio Theodoroi,0.6400000000000148
wfp.15767,Skiathos,0.6400000000000148
wfp.15457,Bodrum,0.6399999999999864
1249,KALMAR,0.6399999999999864
wfp.15715,Hadera,0.6299999999999955
3280995,RAAHE,0.6299999999999955
wfp.17332,Supsa,0.6200000000000045
wfp.15695,Inebolu,0.6100000000000136
wfp.17055,Bandirmar,0.6100000000000136
wfp.14959,Derince,0.5999999999999943
wfp.14333,Syros (Syra),0.5999999999999943
wfp.16464,Zonguldak,0.5999999999999943
95772812,STRÅ,0.5999999999999943
wfp.16019,Ej Jiye,0.5999999999999943
wfp.14575,Basarabi,0.5999999999999943
14928,VYSOTSKI,0.5900000000000034
wfp.16048,Kos,0.5900000000000034
423,KASKINEN,0.5900000000000034
932,MALMÖ,0.589999999999975
wfp.15964,Fethiye,0.5799999999999841
wfp.15674,Tuzla,0.5799999999999841
wfp.14758,Kherson,0.5699999999999932
91321,HELSINGÖR,0.5699999999999932
9447,KLINTEHAMN,0.5699999999999932
938412,SUNDSVALL,0.5600000000000023
wfp.17338,Kymi (Kimi),0.5600000000000023
wfp.15144,Mangalia,0.5600000000000023
9327575,VYBORG,0.5600000000000023
591,KEMI,0.5600000000000023
130593,YSTAD,0.5499999999999972
4305,KÖPENHAMN,0.5499999999999972
9949,Parainen,0.5400000000000205
wfp.16882,Izmail,0.539999999999992
wfp.16047,Amorgos,0.5300000000000011
wfp.16913,Mytilene,0.5200000000000102
wfp.16192,Amasra,0.5200000000000102
wfp.17638,Idhra (Hydra),0.5199999999999818
wfp.16457,Kas,0.5099999999999909
8928379,UUSIKAUPUNKI/NYSTAD,0.4900000000000091
wfp.16857,Oktyabrsk,0.4800000000000182
wfp.17523,Ceyhan,0.4800000000000182
wfp.16216,Tekirdag,0.4800000000000182
wfp.17401,Yuzhnyy,0.47999999999998977
wfp.17151,Ambarli,0.47999999999998977
7324723,STORUGNS,0.47999999999998977
wfp.17472,Kalimnos Island,0.46999999999999886
wfp.14332,Eleusis,0.46000000000000796
8312,SÖLVESBORG,0.45999999999999375
wfp.14975,Gelibolu,0.4399999999999977
12812,SÖDERHAMN,0.4300000000000068
wfp.14762,Mariupol,0.4300000000000068
587,SÖRÅKER,0.4300000000000068
wfp.15807,Limassol,0.4300000000000068
8412,KANTVIK,0.4200000000000159
wfp.14964,Cesme,0.410000000000025
wfp.15432,Ashdod,0.4099999999999966
wfp.15023,Constanta,0.4099999999999966
wfp.14960,Samsun,0.4099999999999966
4949,BÅLSTA,0.4099999999999966
28,HUSUM,0.4099999999999966
90433,VÄSTERÅS,0.4000000000000057
wfp.14440,Thira,0.4000000000000057
924,INKOO,0.38999999999998636
81274125,LOKSA,0.36000000000001364
wfp.16140,Beykoz,0.3599999999999852
9238,BERGKVARA,0.3499999999999943
1416,NORRKÖPING,0.3499999999999943
wfp.15955,Mudanya,0.3499999999999943
4299,SÖDERTÄLJE,0.3400000000000034
wfp.16270,Alexandria,0.3300000000000125
wfp.16617,Sariyer,0.3300000000000125
wfp.15678,Canakkale,0.3299999999999841
wfp.16226,Haifa,0.29999999999998295
wfp.14569,Akrotiri,0.29999999999998295
32140,HÖGANÄS,0.29000000000000625
4219,BROFJORDEN,0.28999999999999204
43827439,TORNIO,0.28999999999999204
34679,KUNDA,0.28999999999999204
645,MUUGA,0.28000000000000114
wfp.14402,Foca,0.28000000000000114
82,HOLMSUND,0.2799999999999727
wfp.16890,Mersin,0.27000000000001023
985,STOCKHOLM,0.27000000000001023
12,HELSINKI/HELSINGFORS,0.2699999999999818
wfp.14760,Kerch,0.2699999999999818
wfp.17356,Lavrion (Laurium),0.2599999999999909
492,SLITE,0.2599999999999909
wfp.14848,Patmos,0.2599999999999909
wfp.16868,Ilyichevsk,0.25
839,KARLSHAMN,0.25
89,RAUMA,0.25
104,KOVERHAR,0.22999999999998977
403,OSLO,0.21999999999999886
wfp.16448,Maltepe,0.21999999999999886
553,SKÖLDVIK,0.21000000000000796
94,LYSEKIL,0.21000000000000796
wfp.17092,Buyukcekmece,0.19999999999998863
9492214,MÖNSTERÅS,0.18999999999999773
wfp.14907,Novorossiysk,0.18999999999999773
856529,GRISSLEHAMN,0.18999999999999773
848,SKUTSKÄR,0.18000000000000682
190,SAINT PETERSBURG,0.17000000000001592
45647,PRIMORSK,0.1699999999999875
40421948,STRÖMSTAD,0.1699999999999875
987124,HALMSTAD,0.1599999999999966
89742,HANKO/HANGÖ,0.1599999999999966
7464,VENTSPILS,0.1599999999999966
213497901,LOVIISA,0.15000000000000568
9421815,MUSSALO,0.15000000000000568
wfp.17486,Sarkoy,0.14000000000001478
wfp.15217,Iskenderun,0.13000000000002387
42326,RONEHAMN,0.12999999999999545
897421,FREDRIKSHAMN,0.12999999999999545
743,VARBERG,0.12000000000000455
88,VISBY,0.12000000000000455
994,OXELÖSUND,0.11000000000001364
953,NYNÄSHAMN,0.11000000000001364
24325,TALLIN,0.1099999999999568
211239847,STENUNGSUND,0.08000000000004093
987352,GRENÅ,0.06999999999999318
1274,PALDISKI,0.060000000000002274
2321,Agnesberg,0.040000000000020464
8214872,UST-LUGA,0.029999999999972715
782598,TRELLEBORG,0.020000000000038654
8241721,FALKENBERG,0.009999999999990905
9557327,DEGERHAMN,0.009999999999990905
wfp.15524,Otranto,0.0
wfp.14761,Reni,0.0
