id,port,spread
wfp.16464,Zonguldak,0.5300000000000011
wfp.15978,Abu Qir,0.5300000000000011
989,KÖPING,0.5299999999999869
wfp.17523,Ceyhan,0.5200000000000102
wfp.15807,Limassol,0.5200000000000102
82,HOLMSUND,0.5100000000000193
wfp.14575,Basarabi,0.5100000000000193
130593,YSTAD,0.5100000000000051
wfp.16537,Naxos,0.5099999999999909
45647,PRIMORSK,0.5
wfp.17338,Kymi (Kimi),0.5
62,HUDIKSVALL,0.4900000000000091
wfp.14907,Novorossiysk,0.4800000000000182
wfp.16857,Oktyabrsk,0.4800000000000182
wfp.16226,Haifa,0.47999999999998977
591,KEMI,0.47999999999998977
wfp.15436,Izmir,0.47999999999996135
91013,NAANTALI/NÅDENDAL,0.4700000000000131
91321,HELSINGÖR,0.46999999999999886
224,OTTERBÄCKEN,0.46000000000000796
wfp.15674,Tuzla,0.46000000000000796
wfp.17639,Achladi,0.45000000000001705
wfp.16868,Ilyichevsk,0.44999999999998863
wfp.14337,Sulina (Port Et Zone Franche),0.4399999999999977
wfp.17321,Agio Theodoroi,0.4399999999999977
938412,SUNDSVALL,0.4300000000000068
wfp.15457,Bodrum,0.4300000000000068
wfp.15767,Skiathos,0.4300000000000068
90433,VÄSTERÅS,0.4199999999999875
1416,NORRKÖPING,0.4199999999999875
8475,PORI/MÄNTYLUOTO,0.4000000000000057
932,MALMÖ,0.4000000000000057
94,LYSEKIL,0.38999999999998636
403,OSLO,0.37999999999999545
wfp.15144,Mangalia,0.36000000000001364
8312,SÖLVESBORG,0.35999999999999943
93482,SILLAMÄE,0.3599999999999852
8928379,UUSIKAUPUNKI/NYSTAD,0.35000000000002274
wfp.16048,Kos,0.3400000000000034
wfp.14959,Derince,0.339999999999975
wfp.16457,Kas,0.3300000000000125
wfp.17307,Yali Island,0.3299999999999983
81274125,LOKSA,0.3299999999999841
104,KOVERHAR,0.3299999999999841
89,RAUMA,0.3199999999999932
wfp.15678,Canakkale,0.3199999999999932
wfp.16448,Maltepe,0.3199999999999932
28,HUSUM,0.3199999999999932
wfp.15524,Otranto,0.3100000000000023
wfp.15955,Mudanya,0.3100000000000023
213497901,LOVIISA,0.30000000000001137
9492214,MÖNSTERÅS,0.28999999999999204
211239847,STENUNGSUND,0.28000000000000114
12,HELSINKI/HELSINGFORS,0.28000000000000114
398,LÖDÖSE,0.28000000000000114
95772812,STRÅ,0.28000000000000114
wfp.14332,Eleusis,0.28000000000000114
984721,HARAHOLMEN,0.28000000000000114
wfp.16270,Alexandria,0.27000000000001023
7324723,STORUGNS,0.27000000000001023
wfp.16047,Amorgos,0.2599999999999909
wfp.15692,Ayvalik,0.25
4299,SÖDERTÄLJE,0.25
492,SLITE,0.2400000000000091
wfp.17472,Kalimnos Island,0.2400000000000091
9238,BERGKVARA,0.2300000000000182
987124,HALMSTAD,0.2300000000000182
40421948,STRÖMSTAD,0.2300000000000182
wfp.17092,Buyukcekmece,0.2300000000000182
953,NYNÄSHAMN,0.22999999999998977
wfp.14973,Aliaga,0.21999999999999886
985,STOCKHOLM,0.21999999999999886
wfp.16140,Beykoz,0.21999999999999886
645,MUUGA,0.21000000000000796
856529,GRISSLEHAMN,0.21000000000000796
wfp.14402,Foca,0.20999999999997954
89742,HANKO/HANGÖ,0.20000000000001705
wfp.14569,Akrotiri,0.20000000000001705
839,KARLSHAMN,0.19999999999998863
24325,TALLIN,0.19999999999998863
231,KOKKOLA,0.18999999999999773
wfp.17486,Sarkoy,0.17000000000001592
8214872,UST-LUGA,0.17000000000001592
wfp.16890,Mersin,0.1699999999999875
848,SKUTSKÄR,0.1699999999999875
1274,PALDISKI,0.1699999999999875
987352,GRENÅ,0.1599999999999966
88,VISBY,0.15999999999996817
994,OXELÖSUND,0.15000000000000568
wfp.14964,Cesme,0.15000000000000568
897421,FREDRIKSHAMN,0.12999999999999545
42326,RONEHAMN,0.11000000000001364
32140,HÖGANÄS,0.11000000000001364
9421815,MUSSALO,0.10999999999998522
553,SKÖLDVIK,0.09999999999999432
wfp.14848,Patmos,0.08000000000004093
743,VARBERG,0.06999999999999318
4219,BROFJORDEN,0.06999999999999318
wfp.14440,Thira,0.060000000000002274
8241721,FALKENBERG,0.060000000000002274
190,SAINT PETERSBURG,0.05000000000001137
7464,VENTSPILS,0.05000000000001137
wfp.15217,Iskenderun,0.040000000000020464
2321,Agnesberg,0.03999999999996362
9557327,DEGERHAMN,0.009999999999990905
782598,TRELLEBORG,0.0
wfp.14761,Reni,0.0
