id,port,country,area,communityId
90433,VÄSTERÅS,se,baltic,216
985,STOCKHOLM,se,baltic,216
4949,BÅLSTA,se,baltic,216
989,KÖPING,se,baltic,216
953,NYNÄSHAMN,se,baltic,216
4299,SÖDERTÄLJE,se,baltic,216
98120,KAPELLSKÄR,se,baltic,216
4210,ÖREGRUND,se,baltic,216
75684,Lappeenranta,fi,baltic,220
21414,KRISTINEHAMN,se,baltic,222
wfp.14392,Kalecik,cy,black,229
wfp.16169,Famagusta,cy,black,229
21,IGGESUND,se,baltic,231
wfp.16361,Corinth,gr,black,236
93251,ÅMÅL,se,baltic,239
wfp.15965,Rize,tr,black,240
wfp.17747,Istanbul,tr,black,242
wfp.14963,Fatsa,tr,black,243
wfp.14664,Hopa,tr,black,244
wfp.16883,Evpatoria,ua,black,245
wfp.14383,Sidi Kerir,eg,black,248
wfp.15463,Ordu,tr,black,249
wfp.17352,Ust Dunaysk,ua,black,250
wfp.16210,Trabzon,tr,black,253
wfp.15198,Gorele,tr,black,253
wfp.17304,Gemikonagi,cy,black,256
wfp.14730,Cheikh Zennad,lb,black,259
wfp.16209,Giresun,tr,black,260
